date,open,high,low,close,volume
2025-08-22,321.66,340.25,319.69,340.01,94016300
2025-08-25,338.9,349.53,335.03,346.6,86670000
2025-08-26,344.93,351.9,343.72,351.67,76651600
2025-08-27,351.94,355.39,349.16,349.6,65519000
2025-08-28,350.91,353.55,340.26,345.98,67903200
2025-08-29,347.23,348.75,331.7,333.87,81145700
2025-09-02,328.23,333.33,325.6,329.36,58392000
2025-09-03,335.2,343.33,328.51,334.09,88733300
2025-09-04,336.15,338.89,331.48,338.53,60711000
2025-09-05,348.0,355.87,344.68,350.84,108989800
2025-09-08,354.64,358.44,344.84,346.4,75208300
2025-09-09,348.44,350.77,343.82,346.97,53816000
2025-09-10,350.55,356.33,346.07,347.79,72121700
2025-09-11,350.17,368.99,347.6,368.81,103756000
2025-09-12,370.94,396.69,370.24,395.94,168156400
2025-09-15,423.13,425.7,402.43,410.04,163823700
2025-09-16,414.5,423.25,411.43,421.62,104285700
2025-09-17,415.75,428.31,409.67,425.86,106133500
2025-09-18,428.87,432.22,416.56,416.85,90454500
2025-09-19,421.82,429.47,421.72,426.07,93131000
2025-09-22,431.11,444.98,429.13,434.21,97108800
2025-09-23,439.88,440.97,423.72,425.85,83422700
2025-09-24,429.83,444.21,429.03,442.79,93133600
2025-09-25,435.24,435.35,419.08,423.39,96746400
2025-09-26,428.3,440.47,421.02,440.4,101628200
2025-09-29,444.35,450.98,439.5,443.21,79491500
2025-09-30,441.52,445.0,433.12,444.72,74358000
2025-10-01,443.8,462.29,440.75,459.46,98122300
2025-10-02,470.54,470.75,435.57,436.0,137009000
2025-10-03,443.29,446.77,416.58,429.83,133188200
2025-10-06,440.75,453.55,436.69,453.25,85324900
2025-10-07,447.82,452.68,432.45,433.09,102296100
2025-10-08,437.57,441.33,425.23,438.69,71192100
2025-10-09,431.81,436.35,426.18,435.54,69339900
2025-10-10,436.54,443.13,411.45,413.49,112107900
2025-10-13,423.53,436.89,419.7,435.9,79552800
2025-10-14,426.79,434.2,417.86,429.24,72669400
2025-10-15,434.9,440.51,426.33,435.15,71558200
2025-10-16,434.73,439.35,421.31,428.75,77189900
2025-10-17,425.5,441.46,423.6,439.31,89331600
2025-10-20,443.87,449.8,440.61,447.43,63719000
2025-10-21,445.76,449.3,442.05,442.6,54412200
2025-10-22,443.45,445.54,429.0,438.97,84023500
2025-10-23,420.0,449.4,413.9,448.98,126709800
2025-10-24,446.83,451.68,430.17,433.72,94727800
2025-10-27,439.98,460.16,438.69,452.42,105867500
2025-10-28,454.78,467.0,451.6,460.55,80185700
2025-10-29,462.5,465.7,452.65,461.51,67983500
2025-10-30,451.05,455.06,439.61,440.1,72447900
2025-10-31,446.75,458.0,443.69,456.56,83135800
2025-11-03,455.99,474.07,453.8,468.37,84595200
2025-11-04,454.46,460.22,443.6,444.26,87756600
2025-11-05,452.05,466.33,440.71,462.07,85573000
2025-11-06,461.96,467.45,435.09,445.91,109622900
2025-11-07,437.92,439.36,421.88,429.52,103471500
2025-11-10,439.6,449.67,433.36,445.23,76515900
2025-11-11,439.4,442.49,432.36,439.62,60533200
2025-11-12,442.15,442.33,426.56,430.6,58513500
2025-11-13,423.13,424.5,396.34,401.99,118948000
2025-11-14,386.3,412.19,382.78,404.35,105506700
2025-11-17,398.74,423.96,398.74,408.92,102214300
2025-11-18,405.38,408.9,393.71,401.25,80688600
2025-11-19,406.18,411.78,398.5,403.99,72047700
2025-11-20,414.63,428.94,394.74,395.23,113548800
2025-11-21,402.32,402.8,383.76,391.09,100460600
2025-11-24,402.17,421.72,401.09,417.78,96806400
2025-11-25,414.42,420.48,405.95,419.4,71915600
2025-11-26,423.95,426.94,416.89,426.58,63463000
2025-11-28,426.59,432.93,426.2,430.17,36252900
2025-12-01,425.32,433.66,425.29,430.14,57463600
2025-12-02,430.81,436.8,422.12,429.24,69336600
2025-12-03,432.1,447.92,431.11,446.74,87483000
2025-12-04,449.94,454.63,445.39,454.53,71906500
2025-12-05,453.03,458.87,451.66,455.0,56427500
2025-12-08,447.45,449.75,435.25,439.58,69165800
2025-12-09,437.54,452.39,435.7,445.17,62367400
2025-12-10,446.07,456.88,443.61,451.45,63257500
2025-12-11,448.95,449.27,440.33,446.89,55979500
2025-12-12,448.09,463.01,441.67,458.96,95656700
2025-12-15,469.44,481.77,467.66,475.31,114542200
2025-12-16,472.21,491.5,465.83,489.88,107608100
2025-12-17,488.22,495.28,466.2,467.26,106490400
2025-12-18,478.16,490.86,473.12,483.37,95168400
2025-12-19,488.12,490.49,474.72,481.2,103305400
2025-12-22,489.88,498.83,485.33,488.73,86916100
2025-12-23,489.4,491.97,482.84,485.56,58223600
2025-12-24,488.48,490.9,476.8,485.4,41285400
2025-12-26,485.23,489.09,473.82,475.19,58780700
2025-12-29,469.0,469.4,459.0,459.64,66263000
2025-12-30,461.09,463.12,453.83,454.43,59238500
2025-12-31,456.1,456.55,449.3,449.72,49078000
2026-01-02,457.8,458.34,435.3,438.07,85535400
2026-01-05,447.99,457.55,444.57,451.67,67940800
2026-01-06,446.38,448.25,428.78,432.96,89093800
2026-01-07,435.9,438.37,431.29,431.41,59828800
2026-01-08,427.89,436.89,424.37,435.8,57041100
2026-01-09,435.95,449.05,430.39,445.01,67331500
2026-01-12,441.23,454.3,438.0,448.96,61649600
2026-01-13,450.2,451.81,443.95,447.2,53719200
2026-01-14,442.81,443.91,434.22,439.2,57259500
2026-01-15,441.13,445.36,437.65,438.57,49465800
2026-01-16,439.5,447.25,435.26,437.5,60220600
2026-01-20,429.36,430.73,417.44,419.25,63187300
2026-01-21,421.66,438.2,419.62,431.44,68124000
2026-01-22,435.16,449.5,432.63,449.36,71546700
2026-01-23,447.43,452.43,444.04,449.06,56771400
2026-01-26,445.0,445.04,434.28,435.2,49397400
2026-01-27,437.41,437.52,430.69,430.9,37733100
2026-01-28,431.91,438.26,430.1,431.46,54857400
2026-01-29,437.8,440.23,414.62,416.56,81686100
2026-01-30,425.35,439.88,422.7,430.41,82626100
2026-02-02,421.29,427.15,414.5,421.81,58739500
2026-02-03,424.27,428.56,413.69,421.96,56886500
2026-02-04,420.46,423.9,399.18,406.01,74606900
2026-02-05,397.02,402.1,387.53,397.21,72819800
2026-02-06,400.87,414.55,397.75,411.11,62677100
2026-02-09,409.91,421.25,407.29,417.32,54484300
2026-02-10,418.08,427.25,417.0,425.21,64450200
2026-02-11,427.96,436.35,420.03,428.27,57362000
2026-02-12,430.3,436.23,414.0,417.07,61933400
2026-02-13,414.31,424.06,410.88,417.44,51434100
2026-02-17,412.36,413.72,400.51,410.63,59678800
2026-02-18,411.11,416.9,409.58,411.32,45921400
2026-02-19,407.25,415.25,404.11,411.71,51019600
2026-02-20,408.3,414.7,405.5,411.82,57912200
2026-02-23,407.29,407.7,394.04,399.83,69680000
2026-02-24,399.5,410.82,397.64,409.38,58579500
2026-02-25,412.15,420.34,412.15,417.4,54809700
2026-02-26,414.42,416.81,403.66,408.58,53602500
2026-02-27,402.94,407.12,398.11,402.51,56890100
2026-03-02,390.6,404.54,388.25,403.32,55088300
2026-03-03,395.09,396.34,385.39,392.43,62617300
2026-03-04,397.85,408.33,394.58,405.94,68305500
2026-03-05,401.57,408.62,399.42,405.55,51925900
2026-03-06,398.09,402.35,394.21,396.73,64054600
2026-03-09,390.05,401.59,381.4,398.68,67018900
2026-03-10,402.22,406.59,398.19,399.24,59258700
2026-03-11,402.28,416.38,402.15,407.82,62559900
2026-03-12,405.18,406.5,394.65,395.01,60973800
2026-03-13,399.17,400.2,389.95,391.2,58504100
2026-03-16,396.22,403.73,394.42,395.56,58068300
2026-03-17,395.69,400.12,393.0,399.27,46890500
2026-03-18,399.0,403.07,392.31,392.78,50853100
2026-03-19,387.27,387.27,378.73,380.3,67078300
2026-03-20,379.39,379.89,364.46,367.96,74680129
